Mean_Intensity,Std_Intensity,Entropy
0.36478364,0.20597714,659.98413
0.35636455,0.19894636,647.1204
0.30129886,0.12873547,567.9473
0.29774135,0.13634285,560.95593
0.29932192,0.13444586,563.9231
0.29378626,0.13429219,554.8949
0.30682686,0.1377408,575.92395
0.3127147,0.1312458,586.44086
0.31053552,0.13517207,582.4483
0.30198202,0.13349229,568.5733
0.55465186,0.21989955,951.9031
0.55343074,0.21314716,950.7201
0.55920136,0.21104147,959.3703
0.5559279,0.19888666,955.7938
0.5532274,0.20881957,951.11383
0.57384175,0.2182273,980.2096
0.57260245,0.21772282,978.43976
0.54956675,0.21904711,944.4048
0.553318,0.21141064,950.9846
0.30749995,0.20880666,564.3647
0.3106936,0.21062277,569.4227
0.27845988,0.2073894,514.6371
0.29646674,0.20542814,546.2092
0.29318243,0.20840271,540.9861
0.2948492,0.20823854,543.343
0.28678396,0.20894997,528.90857
0.28515384,0.20767917,526.4781
0.47578746,0.20121758,833.4532
0.4899703,0.19501059,856.19946
0.49971658,0.19695708,870.6638
0.5189241,0.1844983,901.7462
0.50589544,0.18489186,881.8449
0.5153905,0.18791729,895.7114
0.49745518,0.18682575,868.78955
0.5499412,0.23458415,941.19464
0.5373439,0.23190412,923.01843
0.54190505,0.2360944,929.0707
0.54886496,0.23412599,939.70917
0.5647323,0.23950413,962.0712
0.5782133,0.24733646,980.61957
0.5527474,0.23731127,944.897
0.58997834,0.17712976,1007.60657
0.59460944,0.19019242,1012.897
0.59394574,0.185799,1012.4282
0.59750944,0.1908883,1017.2714
0.6022398,0.1958391,1023.33966
0.5959809,0.18584506,1015.45123
0.59904414,0.19457334,1019.2627
0.6062622,0.19761811,1029.2893
0.5993188,0.19102992,1019.5686
0.47076908,0.20366529,828.25525
0.39491022,0.21196805,709.30597
0.47096053,0.18628253,830.23694
0.3212017,0.17103322,596.04974
0.5027021,0.18328248,878.5275
0.3649535,0.19893736,663.61084
0.46874133,0.26629364,815.75507
0.4321705,0.22706653,765.9833
0.39303568,0.20169899,707.1429
0.44358456,0.22515133,783.0805
0.51365185,0.24669969,887.1267
0.49807346,0.26148424,860.9078
0.47098762,0.25371233,820.5423
0.46893772,0.25380826,817.05975
0.4333135,0.24241276,763.3947
0.5548782,0.356636,931.2926
0.56469274,0.3536724,946.7235
0.51803595,0.34481457,878.7173
0.52262247,0.34703726,885.07733
0.58221805,0.35831785,971.5543
0.54207796,0.35031557,913.7952
0.5276423,0.34025636,894.6453
0.5728911,0.35378155,958.8332
0.51375717,0.33913666,873.5039
0.53358847,0.34438977,902.22766
0.41300902,0.18215337,742.0584
0.32385173,0.27409726,584.09344
0.2941731,0.26733455,534.4894
0.24674134,0.27783728,448.44165
0.36307618,0.34724185,628.8625
0.38079348,0.34261385,659.10583
0.3175329,0.3109687,563.0705
0.34044576,0.24421857,615.92725
0.3265876,0.29807135,578.7819
0.30130416,0.28285423,540.2226
0.2590967,0.24925016,477.10403
0.17451683,0.2229647,329.59653
0.24639116,0.27833885,446.7104
0.6844798,0.31135836,1127.3956
0.6472475,0.2739854,1080.8643
0.5548608,0.20202841,955.7251
0.49912453,0.33516365,848.4455
0.4975418,0.16481352,873.5728
0.45486423,0.25374755,796.82043
0.4774353,0.25033987,831.07166
0.51379746,0.24817312,886.2111
0.5606408,0.25814003,954.563
0.6398801,0.30939475,1063.0554
0.3890481,0.24193703,694.1366
0.3865607,0.24748735,688.9562
0.5641093,0.28050828,958.3739
0.5609282,0.2811055,953.91296
0.58433765,0.2930908,986.1577
0.5742665,0.29490814,971.34796
0.5748275,0.29733416,971.8961
0.58013403,0.29537845,980.0278
0.61747944,0.26388535,1038.907
0.6166128,0.2583487,1038.2045
0.57596403,0.28479785,975.23267
0.578505,0.2849518,979.2392
0.42166445,0.2799993,737.83923
0.41207132,0.28848192,721.44543
0.3748049,0.28482246,662.8997
0.4344456,0.30593014,752.55066
0.4451003,0.28061593,775.0048
0.41568315,0.29084474,726.78534
0.43023226,0.28788167,750.11914
0.4261358,0.29205492,743.18066
0.40720168,0.2894982,713.8148
0.42167833,0.2918782,735.9976
0.4369355,0.22934476,771.89453
0.4386801,0.22990702,774.4212
0.46096283,0.22521015,809.262
0.44421807,0.22646847,783.61224
0.45793554,0.23091759,803.9444
0.43686205,0.22090855,773.04724
0.4301741,0.22483033,761.96484
0.4193,0.22952536,744.2591
0.4315825,0.23497449,762.6338
0.44261733,0.2339811,779.8501
0.39216897,0.21772754,703.67114
0.3825385,0.22805864,686.5698
0.3881334,0.2224983,696.3714
0.38780797,0.2154086,696.8858
0.37558568,0.21233207,678.0057
0.37169382,0.21122135,672.2074
0.3812743,0.21132545,687.3055
0.38954204,0.21791904,699.7599
0.45563814,0.212281,804.4026
0.5192185,0.23720442,898.07886
0.45194978,0.20026785,798.8527
0.46009734,0.212951,809.6822
0.4190233,0.20485973,746.5081
0.47421566,0.20401892,832.81586
0.39158088,0.20511584,703.6106
0.45001146,0.20295055,795.84216
0.43901327,0.20093103,778.9048
0.42266768,0.19901195,754.0382
0.42866126,0.19862199,763.2064
0.42153966,0.19869359,752.10596
0.23408425,0.18534309,447.78784
0.25718126,0.18394329,487.72617
0.23893511,0.18198848,456.87576
0.24757238,0.19400752,470.16815
0.24202771,0.17993248,461.98077
0.25810602,0.20082712,487.09842
0.2651679,0.20133385,499.07776
0.26383272,0.20538831,496.0152
0.2685575,0.21550553,502.34256
0.2515709,0.19715545,476.29196
0.45830613,0.2119626,807.45685
0.46427092,0.21487719,816.18744
0.45952916,0.21835765,808.24396
0.45300505,0.21914695,797.9989
0.4535119,0.21381757,799.71094
0.45474318,0.21471414,801.4778
0.45430234,0.2143205,800.7435
0.45094937,0.21511409,795.5278
0.4516262,0.2142739,796.63727
0.4631397,0.21738155,814.03674
0.34546596,0.2550353,616.6362
0.33867192,0.25048313,606.6061
0.31032458,0.23229183,563.1549
0.31134987,0.23398337,564.4652
0.32142988,0.24221922,579.54254
0.32839012,0.24343126,590.80786
0.5132799,0.17948528,894.1315
0.5238425,0.17427033,910.30286
0.52061397,0.17324267,905.6163
0.5085941,0.17338416,887.9167
0.5222762,0.17252304,908.14124
0.51339257,0.17351304,894.9695
0.49856907,0.17011222,873.10974
0.52341586,0.17957206,909.10846
0.5085274,0.17724979,887.3654
0.5088451,0.17928115,887.61523
0.4268269,0.19138227,758.7191
0.42569262,0.20200813,758.57733
0.43656385,0.21014881,771.0322
0.44119433,0.20820552,781.6333
0.43847284,0.19049871,777.0908
0.4400197,0.20891611,779.4407
0.45105895,0.19501223,796.23206
0.46065092,0.20035546,809.7086
0.44023758,0.20264743,781.0206
0.4279588,0.20131436,759.1036
0.42964926,0.19398311,763.02136
0.44926423,0.20375627,791.8044
0.42559242,0.19297512,756.83655
0.43243545,0.19097339,767.78534
0.45050782,0.20063664,797.4115
0.32870603,0.21050793,602.26196
0.36186382,0.19321233,658.2974
0.36740822,0.20456016,665.4125
0.37032956,0.20219567,670.59485
0.37223074,0.20418553,673.3465
0.36527225,0.19707127,663.6628
0.38990834,0.20360789,701.5374
0.3416698,0.20683035,624.53784
0.34453422,0.19328365,630.66113
0.37800434,0.20183787,682.70703
0.6543765,0.18176393,1100.5463
0.66596735,0.18020545,1117.2078
0.692261,0.1864661,1153.7794
0.68341446,0.18124706,1141.6761
0.66623324,0.18377909,1117.1848
0.6664461,0.18359102,1117.578
0.56928456,0.12155971,982.3425
0.46216774,0.22689499,809.329
0.50964224,0.2998981,873.2198
0.41957974,0.30575314,729.47736
0.44353092,0.2928817,771.8743
0.5701925,0.194926,977.0051
0.529948,0.18572591,919.2241
0.57063794,0.22622561,974.9511
0.4790787,0.19540475,840.4596
0.57188594,0.21758129,978.0576
0.50212944,0.20410098,874.5804
0.59704417,0.18009469,1017.73724
0.72864676,0.1938339,1203.4243
0.79069644,0.19531122,1288.6885
0.69336677,0.21147925,1151.9762
0.46738577,0.2888751,809.1082
